<meta-data>
nrMolecules = 5740
nrFoodSet   = 48
nrReactions = 6039

<molecules>
H2O; Water	C00001
R03751	C01880 + C00001 => C06103	Enzyme	1.0
R01519	C00198 + C00001 => C00257	Enzyme	1.0
R04785	C05422 + C00001 => C04575	Enzyme	1.0
R01483	C02670 + C00001 <=> C00191	Enzyme	1.0
R01484	C03387 + C00001 <=> C00191	Enzyme	1.0
R01241	C00146 + C00033 <=> C00548 + C00001	Enzyme	1.0
R06893	C13636 + C00001 => C00530 + C00033	Quinones	1.0
R07342	C15583 + C00001 <=> C15584 + C00033	Enzyme	1.0
R00048	C04546 + C00001 <=> 2 C01089	Enzyme	1.0
R01351	C01885 + C00001 => C00116 + C00162	Enzyme	1.0
R01352	C02112 + C00001 <=> C00116 + C00162	Enzyme	1.0
R02991	C03586 + C00001 => C00846	Enzyme	1.0
R02933	C01040 + C00001 <=> C00800	C00038	1.0
R03034	C03383 + C00001 <=> C00880	C00038	1.0
R03708	C01770 + C00001 <=> C01991	C00038	1.0
R03467	C03692 + 2 C00001 <=> C05401 + 2 C00060	Enzyme	1.0
R04471	C05401 + 2 C00162 => C03692 + 2 C00001	Enzyme	1.0
R02992	C00971 + C00001 => C00847	C00038	1.0
R01924	C02301 + C00001 <=> C00162 + C00318	Enzyme	1.0
R04238	C03880 + C00001 <=> C03523 + C00066	C00018	1.0
R01369	C00422 + C00001 <=> C00165 + C00060	C00076	1.0
R02250	C00422 + C00001 => C00641 + C00162	C00076	1.0
R02687	C00641 + C00001 => C01885 + C00162	C00076	1.0
R02688	C00641 + C00001 <=> C02112 + C00162	C00076	1.0
R05209	C00165 + C00001 <=> C01885 + C00060	C00076	1.0
R02714	C00652 + C00001 <=> C00878	Enzyme	1.0
R02035	C01236 + C00001 => C00345	Enzyme	1.0
R01314	C00157 + C00001 <=> C04233 + C00060	C00076	1.0
R01316	C00157 + C00001 => C04233 + C00162	C00076	1.0
R02054	C00350 + C00001 => C05973 + C00162	C00076	1.0
R04034	C02737 + C00001 => C05974 + C00162	C00076	1.0
R07860	C00157 + C00001 => C04233 + C06427	C00076	1.0
R00327	C02655 + C00001 <=> C00031 + C00033	Enzyme	1.0
R03692	C02274 + C00001 => C01198	Enzyme	1.0
R03624	C16717 + C00001 <=> C01593	Enzyme	1.0
R08462	C03514 + C00001 <=> C16718	Enzyme	1.0
R03641	C04676 + C00001 <=> C01618	Enzyme	1.0
R03702	C02752 + C00001 <=> C01757	Enzyme	1.0
R03711	C01775 + C00001 <=> C03597	Enzyme	1.0
R01313	C00157 + C00001 <=> C04230 + C00060	C00038 C00076	1.0
R01315	C00157 + C00001 => C04230 + C00162	C00038 C00076	1.0
R01317	C00157 + C00001 <=> C04230 + C00219	C00038 C00076	1.0
R02053	C00350 + C00001 => C04438 + C00162	C00038 C00076	1.0
R03107	C00958 + C00001 <=> C04517 + C00162	C00038 C00076	1.0
R07064	C00157 + C00001 => C04230 + C01595	C00038 C00076	1.0
R07379	C04756 + C00001 => C04635 + C00060	C00038 C00076	1.0
R07387	C05212 + C00001 => C04317 + C00060	C00038 C00076	1.0
R07859	C00157 + C00001 => C04230 + C06427	C00038 C00076	1.0
R00054	C02868 + C00001 <=> 2 C01839	Enzyme	1.0
R03062	C00916 + C00001 => C03112 + C00033	Enzyme	1.0
R02997	C00852 + C00001 <=> C01197 + C00296	Enzyme	1.0
R04191	C03317 + C00001 <=> C05167 + C00069	Enzyme	1.0
R01144	C03716 + C00001 <=> C00036 + C00132	Enzyme	1.0
R03893	C04431 + C00001 => C02222	Enzyme	1.0
R05510	C07090 + C00001 => C07091	Enzyme	1.0
R05511	C04706 + C00001 => C06329	Enzyme	1.0
R06835	C12834 + C00001 => C12835	Enzyme	1.0
R06838	C12838 + C00001 => C02222	Enzyme	1.0
R08120	C16477 + C00001 => C02222 + C16487	Enzyme	1.0
R08121	C16476 + C00001 => C02222 + C16487	Enzyme	1.0
R09136	C18242 + C00001 => C18243	Enzyme	1.0
R09220	C18309 + C00001 => C18310	Enzyme	1.0
R09222	C18304 + C00001 => C18305	Enzyme	1.0
R03803	C02027 + C00001 <=> C04251	Enzyme	1.0
R04452	C04598 + C00001 => C04317 + C00033	Enzyme	1.0
R04070	C03625 + C00001 <=> C02858 + C00069	Enzyme	1.0
R02381	C00933 + C00001 => C00482 + C00114	Enzyme	1.0
R01309	C00157 + 2 C00001 <=> C00670 + 2 C00162	Enzyme	1.0
R02744	C00670 + C00060 <=> C04233 + C00001	Enzyme	1.0
R02746	C04230 + C00001 => C00670 + C00162	Enzyme	1.0
R02747	C04233 + C00001 => C00670 + C00162	Enzyme	1.0
R03416	C04438 + C00001 => C00162 + C01233	Enzyme	1.0
R03417	C05973 + C00001 => C00162 + C01233	Enzyme	1.0
R07291	C04230 + C00001 <=> C00670 + C00060	Enzyme	1.0
R02042	C01629 + C00001 => C00339 + C00347	Enzyme	1.0
R04119	C03634 + C00001 <=> C03019 + C00246	Enzyme	1.0
R03360	C01194 + C00001 => C03819 + C00060	Enzyme	1.0
R01810	C03708 + C00001 <=> C00270 + C00033	Enzyme	1.0
R08600	C04015 + C00001 <=> C00270 + C00033	Enzyme	1.0
R08601	C04017 + C00001 <=> C00270 + C00033	Enzyme	1.0
R04490	C04485 + C00001 <=> C04486 + C00033	Enzyme	1.0
R02942	C01405 + C00001 <=> C00805 + C00033	Enzyme	1.0
R04277	C03671 + C00001 => C04434	Enzyme	1.0
R04146	C04018 + C00001 <=> C03106 + C00033	Enzyme	1.0
R00628	C01883 + C00001 <=> C00069 + C00033	Enzyme	1.0
R04202	C03690 + C00001 <=> C03343 + C02498	Enzyme	1.0
R02624	C04142 + C00001 <=> C00614 + C00132	Enzyme	1.0
R03049	C03455 + C00001 => C00899 + C00249	Enzyme	1.0
R04525	C04606 + C00001 <=> C04711 + C00033	Enzyme	1.0
R02682	C04202 + C00001 <=> C00638 + C00469	Enzyme	1.0
R02428	C02753 + C00001 <=> C00502	Enzyme	1.0
R03612	C03256 + C00001 <=> C01564 + C00556	Enzyme	1.0
R04043	C03820 + C00001 <=> C02773 + C00033	Enzyme	1.0
R05793	C07299 + C00001 <=> C07300	Enzyme	1.0
R05118	C06143 + C00001 <=> C11552 + C04546	Enzyme	1.0
R05797	C11551 + C00001 <=> C11551 + C11552	Enzyme	1.0
R05796	C11549 + C00001 <=> C11549 + C11550	Enzyme	1.0
R05825	C11632 + C00001 => C11633 + C00011 + C00132	Enzyme	1.0
R01026	C01996 + C00001 => C00114 + C00033	Enzyme	1.0
R01029	C01777 + C00001 <=> C00114 + C00060	Enzyme	1.0
R08970	C18049 + C00001 <=> C18061	C00038	1.0
R06390	C11402 + C00001 => C11404	Enzyme	1.0
R06391	C11403 + C00001 => C11406	Enzyme	1.0
R06392	C11414 + C00001 => C11417	Enzyme	1.0
R06393	C11418 + C00001 => C11420	Enzyme	1.0
R08979	C18066 + C00001 <=> C18067	Enzyme	1.0
R09725	C19846 + C00001 => C19845 + C00132	Enzyme	1.0
R09674	C19241 + 2 C00001 <=> C19805 + 2 C19806	Enzyme	1.0
R09724	C19864 + C00001 <=> C19800 + C19844	Enzyme	1.0
R10135	C20366 + C00001 <=> C02167	Enzyme	1.0
R05420	C06676 + C00001 => C11481 + C02222 + C00080	C00038	1.0
R09337	C18640 + C00001 => C18641 + C00132	Enzyme	1.0
R10545	C18634 + C00001 => C20689 + C00132	Enzyme	1.0
R11242	C21064 + C00001 <=> C21182	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R00227	C00024 + C00001 => C00010 + C00033	Flavins&C00010	1.0
R00521	C00798 + C00001 => C00010 + C00058	C00010	1.0
R01358	C00332 + C00001 => C00164 + C00010	C00010	1.0
R00527	C01031 + C00001 => C00058 + C00051	Enzyme	1.0
R00499	C03174 + C00001 <=> C00051 + C00042	Enzyme	1.0
R04450	C04334 + C00001 <=> C04298 + C00033	Enzyme	1.0
R02764	C00683 + C00001 => C02170 + C00010	C00010	1.0
R00383	C00040 + C00001 <=> C00010 + C00060	C00010	1.0
R04014	C05223 + C00001 => C00229 + C02679	Enzyme	1.0
R08157	C05752 + C00001 => C00229 + C06423	Enzyme	1.0
R08158	C05755 + C00001 => C00229 + C01571	Enzyme	1.0
R01301	C02949 + C00001 => C00156 + C00010	C00010	1.0
R07294	C15524 + C00001 => C02137 + C00010	C00010	1.0
R07262	C15547 + C00001 => C03657 + C00010	C00010	1.0
R09643	C19775 + C00001 <=> C06108 + C00010	C00010	1.0
R00407	C00091 + C00001 <=> C00010 + C00042	C00010	1.0
R11187	C21108 + C00001 <=> C00229 + C20851	Enzyme	1.0
R11542	C21452 + C00001 => C21453 + C00010	C00010	1.0
R03158	C01013 + C00010 <=> C05668 + C00001	C00010	1.0
R03352	C04047 + C00001 <=> C01188 + C00010	C00010	1.0
R05064	C06000 + C00001 => C00010 + C06001	C00010	1.0
R02083	C00356 + C00001 <=> C00010 + C03761	C00010	1.0
R01736	C03451 + C00001 => C00051 + C00256	C14818 C14819 C00018 C19610 C00038	1.0
R04090	C03899 + C00001 <=> C00051 + C02929	C14818 C14819 C00018 C19610 C00038	1.0
R00547	C02589 + C00001 <=> C00060 + C00051	Enzyme	1.0
R02135	C01081 + C00001 => C00378 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R03024	C03360 + C00001 => C00870 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R00626	C01153 + C00001 <=> C00069 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R01010	C00111 + C00001 <=> C00184 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R04620	C04895 + 3 C00001 => C04874 + 3 C00009	C00038 C00305	1.0
R00304	C00103 + C00001 <=> C00031 + C00009	C00038 C00175 C19610 C00305	1.0
R00947	C00103 + C00001 => C00267 + C00009	C00038 C00175 C19610 C00305	1.0
R11240	C21219 + C00001 => C17700 + C00009	C00175 C19610 C00305	1.0
R11440	C21383 + C00001 <=> C20934 + C00009	Enzyme	1.0
R07280	C04454 + C00001 => C04732 + C00009	C00038 C00175 C19610 C00305	1.0
R11785	C16698 + C00001 => C02713 + C00009	Enzyme	1.0
R01845	C00447 + C00001 => C05382 + C00009	C19610 C00305	1.0
R00762	C00354 + C00001 => C00085 + C00009	C19610 C00305	1.0
R04780	C05378 + C00001 => C05345 + C00009	C19610 C00305	1.0
R02778	C00689 + C00001 => C01083 + C00009	C00038 C00175 C19610 C00305	1.0
R06228	G09795 + C00001 <=> G00293 + C00009	C00038 C00175 C19610 C00305	1.0
R04317	C04399 + C00001 <=> C03804 + C00009	Enzyme	1.0
R03013	C01100 + C00001 => C00860 + C00009	C00305	1.0
R00164	C00562 + C00001 <=> C00017 + C00009	C19610 C00305	1.0
R00077	C02307 + 4 C00001 <=> 2 C02308 + 4 C00009	Enzyme	1.0
R01334	C00988 + C00001 => C00160 + C00009	C00305	1.0
R01043	C02979 + C00001 <=> C00116 + C00009	Enzyme	1.0
R11527	C00681 + C00001 <=> C01885 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R01748	C00631 + C00001 <=> C00258 + C00009	Enzyme	1.0
R02167	C00644 + C00001 <=> C00392 + C00009	C00038 C00175 C19610 C00305	1.0
R00804	C00934 + C00001 <=> C11477 + C00009	C00038 C00175 C19610 C00305	1.0
R00805	C02591 + C00001 => C00089 + C00009	Enzyme	1.0
R06211	G10508 + C00001 <=> G00370 + C00009	Enzyme	1.0
R01185	C01177 + C00001 => C00137 + C00009	C19610 C00305	1.0
R01186	C03546 + C00001 => C00137 + C00009	C19610 C00305	1.0
R01187	C04006 + C00001 => C00137 + C00009	C19610 C00305	1.0
R07343	C15585 + C00001 <=> C00137 + C00009	C19610 C00305	1.0
R03372	C01204 + C00001 => C04579 + C00009	Enzyme	1.0
R02029	C03892 + C00001 => C00344 + C00009	C00305	1.0
R03969	C03673 + C00001 <=> C02509 + C00009	Enzyme	1.0
R01805	C06241 + C00001 => C00270 + C00009	C00305	1.0
R02597	C01200 + C00001 <=> C00591 + C00009	C00305	1.0
R00582	C01005 + C00001 => C00065 + C00009	C00038 C00175 C19610 C00305	1.0
R02853	C02532 + C00001 <=> C00740 + C00009	C00038 C00175 C19610 C00305	1.0
R01572	C00215 + C00001 <=> C00801 + C00009	Enzyme	1.0
R02249	C03475 + C00001 <=> C00419 + C00009	C00305	1.0
R02751	C00675 + C00001 <=> C02269 + C00009	C00305	1.0
R01511	C00197 + C00001 => C00258 + C00009	Enzyme	1.0
R02228	C01138 + C00001 => C00413 + C00009	C00038&C00305	1.0
R02239	C00416 + C00001 => C00641 + C00009	Enzyme	1.0
R04162	C05977 + C00001 => C03201 + C00009	Enzyme	1.0
R06520	C01120 + C00001 => C00836 + C00009	Enzyme	1.0
R06521	C06124 + C00001 => C00319 + C00009	Enzyme	1.0
R06522	C02960 + C00001 => C00195 + C00009	Enzyme	1.0
R03496	C01294 + C00001 => C04280 + C00009	Enzyme	1.0
R04156	C03185 + C00001 <=> C03186 + C00009	Enzyme	1.0
R03273	C01247 + C00001 <=> C01139 + C00009	Enzyme	1.0
R03350	C04478 + C00001 => C01187 + C00009	C00175 C00305	1.0
R00763	C00665 + C00001 <=> C00085 + C00009	Enzyme	1.0
R02731	C00665 + C00001 => C05345 + C00009	Enzyme	1.0
R04542	C04768 + C00001 <=> C04632 + C00009	Enzyme	1.0
R02585	C01167 + C00001 <=> C00585 + C00009	C00038 C19610	1.0
R03993	C03808 + C00001 <=> C02601 + C00009	Enzyme	1.0
R07297	C02520 + C00001 <=> C00911 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R01569	C00364 + C00001 => C00214 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R01664	C00239 + C00001 => C00881 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R01968	C00362 + C00001 <=> C00330 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R02088	C00360 + C00001 <=> C00559 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R02102	C00365 + C00001 => C00526 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R00511	C00055 + C00001 => C00475 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R00183	C00020 + C00001 => C00212 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R00963	C00105 + C00001 => C00299 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R01126	C00130 + C00001 => C00294 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R01227	C00144 + C00001 => C00387 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R02323	C00455 + C00001 => C03150 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R02719	C00655 + C00001 => C01762 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R03346	C01185 + C00001 => C05841 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R02866	C01096 + C00001 <=> C00794 + C00009	C00038 C00175 C19610 C00305	1.0
R01003	C00110 + C00001 => C00381 + C00009	Enzyme	1.0
R03515	C01308 + C00001 <=> C04726 + C00009	Enzyme	1.0
R03151	C03875 + C00001 <=> C01003 + C00009	Enzyme	1.0
R02730	C00665 + C00001 => C03267 + C00009	Enzyme	1.0
R02885	C01022 + C00001 <=> C00759 + C00009	Enzyme	1.0
R00303	C00092 + C00001 => C00031 + C00009	Enzyme	1.0
R03454	C01264 + C00001 => C03820 + C00009	Enzyme	1.0
R03060	C02508 + C00001 <=> C00911 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R01562	C01367 + C00001 => C00212 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R01877	C01368 + C00001 => C00299 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R02148	C06193 + C00001 => C00387 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R02370	C05822 + C00001 => C00475 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R00208	C00074 + C00001 <=> C00022 + C00009	C14818 C00175 C19610	1.0
R03330	C04062 + C00001 => C01177 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R03363	C04549 + C00001 => C01194 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R06875	C11554 + C00001 <=> C01277 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R05791	C10517 + C00001 <=> C11546 + C00009	Enzyme	1.0
R00188	C00054 + C00001 <=> C00020 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R00508	C00053 + C00001 => C00224 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R05790	C11516 + C00001 => C11544 + C00009	C00175 C19609 C00305	1.0
R05789	C11536 + C00001 => C11537 + C00009	C00305	1.0
R07583	C01204 + C00001 <=> C15990 + C00009	Enzyme	1.0
R04594	C04778 + C00001 => C05775 + C00009	C00305	1.0
R07394	C15651 + C00001 => C15606 + C00009	C00038 C00305	1.0
R07393	C15650 => C15651	C00038 C00305	1.0
R07395	C15650 + C00001 => C15606 + C00009	C00038 C00305	1.0
R08981	C04637 + C00001 <=> C11557 + C00009	Enzyme	1.0
R08982	C18050 + C00001 <=> C18068 + C00009	Enzyme	1.0
R03371	C01204 + C00001 => C04563 + C00009	C00076	1.0
R09644	C19776 + C00001 <=> C00416 + C00009	Enzyme	1.0
R05647	C11472 + C00001 => C07838 + C00009	C19610 C00175 C00038 C00305	1.0
R09771	C19879 + C00001 => C19880 + C00009	C00305	1.0
R09664	C19791 + C00001 <=> C19792 + C00009	C00175 C19609 C00305	1.0
R08899	C18004 + C00001 => C01759 + C00009	Enzyme	1.0
R10776	C00676 + C00001 <=> C02269 + C00009	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R10486	C02995 + C00001 => C00208 + C00009	Enzyme	1.0
R10546	C03998 + C00001 <=> C20674 + C00009	Enzyme	1.0
R10547	C12213 + C00001 <=> C12212 + C00009	C00305	1.0
R07674	C15926 + C00001 => C01825 + C00009	Enzyme	1.0
R10622	C00446 + C00001 <=> C00124 + C00009	Enzyme	1.0
R11180	C01168 + C00001 <=> C02067 + C00009	Enzyme	1.0
R11188	C21158 + C00001 <=> C01117 + C00009	C19610	1.0
R02541	C00550 + C00001 => C00195 + C00588	C00038 C00305	1.0
R02817	C03872 + C00001 => C00065 + C00346	Enzyme	1.0
R01623	C00229 + C00001 => C01134 + C03688	Enzyme	1.0
R03423	C01240 + C00001 <=> C03419	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R03537	C02353 + C00001 => C01367	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R03538	C02355 + C00001 => C01368	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R03929	C02354 + C00001 => C05822	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R05135	C06194 + C00001 => C06193	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R01234	C00942 + C00001 => C00144	C19610	1.0
R03259	C04212 + C00001 <=> C01117	C19610	1.0
R03332	C01194 + C00001 => C01177 + C00641	C00038 C00076	1.0
R01312	C00157 + C00001 => C00641 + C00588	C00038 C00076	1.0
R02027	C00344 + C00001 => C00641 + C00093	C00038 C00076	1.0
R02052	C00350 + C00001 => C00641 + C00346	C00038 C00076	1.0
R07381	C04756 + C00001 => C03454 + C00346	C00038 C00076	1.0
R03422	C01240 + C00001 <=> C03418	Enzyme	1.0
R02591	C00670 + C00001 <=> C00116 + C00588	Enzyme	1.0
R02598	C01064 + C00001 <=> C00055 + C00591	Enzyme	1.0
R02648	C03947 + C00001 <=> C03189	Enzyme	1.0
R00857	C03120 + C00001 <=> C00069 + C00093	C19610 C00175 C00076 C00305	1.0
R01030	C00670 + C00001 => C00114 + C00093	C19610 C00175 C00076 C00305	1.0
R01470	C01233 + C00001 => C00189 + C00093	C19610 C00175 C00076 C00305	1.0
R01006	C01246 + C00001 => C00110 + C00031	Enzyme	1.0
R01328	C03862 + C00001 <=> C00110 + C00159	Enzyme	1.0
R04149	C04195 + C00001 <=> C00416 + C03121	Enzyme	1.0
R06623	G00144 + C00001 => G12396 + C00416	Enzyme	1.0
R07398	C04248 + C00001 <=> C15658 + C00416	Enzyme	1.0
R04180	C04645 + C00001 <=> C00103 + C03268	Enzyme	1.0
R08991	C16463 + C00001 <=> C18076	C19610 C00305 Hemes	1.0
R00191	C00575 + C00001 => C00020	C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696 C14819	1.0
R10205	C20440 + C00001 => C01151	C00038&C19610	1.0
R10344	C20567 + C00001 => C05925	C14818&C00038	1.0
R10345	C20567 + C00001 => C20566	C14818&C00038	1.0
R10972	C20440 + C00001 => C20986	C19610	1.0
R10973	C20986 + C00001 => C00117 + C00009	C19610	1.0
R11786	C04312 + C00001 <=> C21652	Enzyme	1.0
R01856	C00286 + C00001 => C00330 + C00536	C00305	1.0
R04856	C06125 + C00001 => C02686 + C00059	IronSulfurClusters C00076	1.0
R06280	G11122 + C00001 <=> G11121 + C00059	IronSulfurClusters C00076	1.0
R01243	C00850 + C00001 <=> C15584 + C00059	IronSulfurClusters C00076	1.0
R03980	C02538 + C00001 => C00059 + C00468	IronSulfurClusters C00076	1.0
R03518	C04865 + C00001 <=> C01310 + C00059	Enzyme	1.0
R03216	C03789 + C00001 <=> C01075 + C00059	Enzyme	1.0
R07823	G12336 + C00001 => G13043 + C00059	Enzyme	1.0
R07812	G13034 + C00001 => G13035 + C00059	Enzyme	1.0
R07821	G13041 + C00001 => G13042 + C00059	Enzyme	1.0
R07808	G13073 + C00001 => G13074 + C00059	Enzyme	1.0
R07819	G09660 + C00001 => G02632 + C00059	Enzyme	1.0
R01145	C02704 + C00001 <=> C00132 + C00059	Enzyme	1.0
R01448	C17205 + C00001 <=> C00256 + C00059	Enzyme	1.0
R07817	G13039 + C00001 => G13040 + C00059	Enzyme	1.0
R00534	C02827 + C00001 <=> C00031 + C00059	Enzyme	1.0
R07806	G01945 + C00001 => G01977 + C00059	Enzyme	1.0
R01028	C00919 + C00001 <=> C00114 + C00059	C00076	1.0
R03517	C04864 + C00001 <=> C01310 + C00059	Enzyme	1.0
R03541	C17627 + C00001 <=> C17628 + C00013	Enzyme	1.0
R11787	C21654 + C00001 <=> C21653 + C00013	Enzyme	1.0
R00336	C01228 + C00001 <=> C00035 + C00013	C19610 C00305	1.0
R03016	C03517 + C00001 <=> C00863 + C00013	Enzyme	1.0
R08396	C00341 + C00001 => C01500 + C00013	Enzyme	1.0
R08529	C03190 + C00001 => C01765 + C00013	Enzyme	1.0
R08993	C00353 + C00001 => C09094 + C00013	Enzyme	1.0
R09828	C19836 + C00001 <=> C19963 + C00013	C00305 C14818 C00070 C19610 C19609 C00038	1.0
R09829	C19836 + C00001 <=> C19964 + C00013	C00305 C14818 C00070 C19610 C19609 C00038	1.0
R03979	C03254 + C00001 <=> C02534 + C15584	C14819 C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R05421	C06604 + C00001 => C06607 + C00870	C14819 C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R05548	C06606 + C00001 => C06608 + C00870	C14819 C00305 C19610 C00038 C00175 C00076 C19609 C14818 C00070 C13884 C01413 C06696	1.0
R01533	C00202 + C00001 <=> C03113 + C16487	C19610	1.0
R01963	C01075 + C00001 <=> C00329 + C00059	Enzyme	1.0
R07814	G13036 + C00001 => G13037 + C00059	Enzyme	1.0
R02564	C02824 + C00001 => C00571 + C00059	Enzyme	1.0
R00747	C03167 + C00001 => C00084 + C00009	C00305	1.0
R00318	C05682 + C00001 => C00033 + C00009	C00038	1.0
R08200	C02798 + C00001 => C00022 + C00009	C00175 C19610 C00305	1.0
R01930	C01861 + C00001 => C00320 + C00059	Enzyme	1.0
R05775	C00029 + C00094 => C11521 + C00001	Enzyme	1.0
R07311	C06742 + C00001 <=> C02499 + C00094	Flavins	1.0
R10974	C20987 + C00001 <=> C00100 + C00094	Flavins	1.0
R10534	C19033 + C00001 <=> C07331 + C00283	C00038	1.0
R10535	C07331 + C00001 <=> C00011 + C00283	C00038	1.0
R10538	C19033 + 2 C00001 <=> C00011 + 2 C00283	C00038	1.0
R11524	C21437 + C00001 <=> C00097 + C15810	C00038	1.0
R02112	C00369 => C00721 + C00208	C00076	1.0
R11262	C01935 + C00001 => C00208	C00076	1.0
R02108	C00369 + C00001 <=> C00721 + C00369	C00076	1.0
R06209	G10545 + C00001 <=> G10545 + G10545	C00076	1.0
R01718	C00252 + C00001 => C00267 + C00031	Enzyme	1.0
R06080	G01318 + C00001 <=> 2 C00267	Enzyme	1.0
R07805	C00573 + C00001 => C00573 + G01945	Enzyme	1.0
R01460	C03855 + C00001 <=> C00187 + C00031	Enzyme	1.0
R03820	C03470 + C00001 => C03309 + C00031	Enzyme	1.0
R04503	C04817 + C00001 <=> C00031 + C04542	Enzyme	1.0
R11309	C00372 => C00252	Enzyme	1.0
R02588	C03573 + C00001 <=> C00069 + C00586	Enzyme	1.0
R05982	G00011 + 4 C00001 => G00012 + 4 C00159	Enzyme	1.0
R06722	C00001 + G00011 <=> C00159 + G10694	Enzyme	1.0
R04118	C03956 + C00001 <=> C03018 + C00195	Enzyme	1.0
R06157	G10544 + C00001 <=> G10545 + C00195	Enzyme	1.0
R06283	C00001 + G00332 <=> C00195 + G02952	Enzyme	1.0
R02595	C00761 + C00001 => C00590 + C00031	Enzyme	1.0
R03604	C01533 + C00001 => C02325 + C00031	Enzyme	1.0
R04006	C05855 + C00001 => C02646 + C00031	Enzyme	1.0
R03906	C02284 + C00001 <=> C04354 + C02283	Enzyme	1.0
R02833	C00734 + C00001 => C06023 + C00734	Enzyme	1.0
R06175	G10536 + C00001 <=> G10536 + G10536	Enzyme	1.0
R03685	C04333 + C00001 <=> C01711	Enzyme	1.0
R06161	C04333 + C00001 <=> G10528	Enzyme	1.0
